section,table_name,name,detail_1,detail_2,detail_3,definition
columns,breeds,id,1,uuid,NO,uuid_generate_v4()
columns,breeds,image_bucket,4,text,YES,
columns,breeds,image_key,5,text,YES,
columns,breeds,image_url,6,text,YES,
columns,breeds,label,3,text,NO,
columns,breeds,species_code,2,text,NO,
constraints,breeds,breeds_pkey,PRIMARY KEY,id,,
foreign_keys,breeds,breeds_species_code_fkey,species_code,species.code,NO ACTION / CASCADE,
indexes,breeds,breeds_pkey,,,,CREATE UNIQUE INDEX breeds_pkey ON public.breeds USING btree (i
rls,breeds,Public read access to breeds,ENABLED,SELECT,authenticated,
rls,breeds,breeds_select,ENABLED,SELECT,authenticated,
columns,clinic_roles,clinic_id,1,uuid,NO,
columns,clinic_roles,created_at,7,timestamp with time zone,NO,now()
columns,clinic_roles,display_name,4,text,YES,
columns,clinic_roles,email,3,text,YES,
columns,clinic_roles,is_active,6,boolean,NO,true
columns,clinic_roles,role,5,USER-DEFINED,NO,'assistant'::user_role
columns,clinic_roles,updated_at,8,timestamp with time zone,YES,
columns,clinic_roles,user_id,2,uuid,NO,
constraints,clinic_roles,clinic_roles_pkey,PRIMARY KEY,"clinic_id, user_id",,
foreign_keys,clinic_roles,clinic_roles_clinic_id_fkey,clinic_id,clinics.id,NO ACTION / CASCADE,
indexes,clinic_roles,clinic_roles_pkey,,,,CREATE UNIQUE INDEX clinic_roles_pkey ON public.clinic_roles US
indexes,clinic_roles,idx_clinic_roles_email,,,,CREATE INDEX idx_clinic_roles_email ON public.clinic_roles USIN
indexes,clinic_roles,idx_clinic_roles_role,,,,CREATE INDEX idx_clinic_roles_role ON public.clinic_roles USING
rls,clinic_roles,clinic_roles_insert,ENABLED,INSERT,authenticated,
rls,clinic_roles,clinic_roles_select,ENABLED,SELECT,authenticated,
rls,clinic_roles,clinic_roles_update,ENABLED,UPDATE,authenticated,qual=(user_id = auth.uid()) | with_check=(user_id = auth.uid())
triggers,clinic_roles,tr_clinic_roles_touch,,,,tg_touch_updated_at
columns,clinics,created_at,3,timestamp with time zone,NO,now()
columns,clinics,id,1,uuid,NO,uuid_generate_v4()
columns,clinics,mrn_seq,5,bigint,NO,0
columns,clinics,name,2,text,NO,
columns,clinics,updated_at,4,timestamp with time zone,NO,now()
constraints,clinics,clinics_pkey,PRIMARY KEY,id,,
indexes,clinics,clinics_pkey,,,,"CREATE UNIQUE INDEX clinics_pkey ON public.clinics USING btree "
rls,clinics,Public read access to clinics,ENABLED,SELECT,authenticated,
rls,clinics,clinics_select,ENABLED,SELECT,authenticated,
triggers,clinics,trg_clinics_updated,,,,set_updated_at
columns,completions,clinic_id,2,uuid,NO,
columns,completions,completed_at,10,timestamp with time zone,YES,now()
columns,completions,completed_by,9,uuid,YES,
columns,completions,completion_data,8,jsonb,YES,
columns,completions,completion_notes,7,text,YES,
columns,completions,completion_status,6,text,NO,
columns,completions,completion_type,5,text,NO,
columns,completions,created_at,11,timestamp with time zone,YES,now()
columns,completions,id,1,uuid,NO,uuid_generate_v4()
columns,completions,patient_id,3,uuid,YES,
columns,completions,task_id,4,uuid,YES,
constraints,completions,completions_pkey,PRIMARY KEY,id,,
foreign_keys,completions,completions_clinic_id_fkey,clinic_id,clinics.id,NO ACTION / CASCADE,
foreign_keys,completions,completions_patient_id_fkey,patient_id,patients.id,NO ACTION / CASCADE,
foreign_keys,completions,completions_task_id_fkey,task_id,tasks.id,NO ACTION / CASCADE,
indexes,completions,completions_pkey,,,,CREATE UNIQUE INDEX completions_pkey ON public.completions USIN
indexes,completions,idx_completions_clinic_id,,,,CREATE INDEX idx_completions_clinic_id ON public.completions US
indexes,completions,idx_completions_completed_at,,,,CREATE INDEX idx_completions_completed_at ON public.completions
indexes,completions,idx_completions_patient_id,,,,CREATE INDEX idx_completions_patient_id ON public.completions U
indexes,completions,idx_completions_status,,,,CREATE INDEX idx_completions_status ON public.completions USING
indexes,completions,idx_completions_task_id,,,,CREATE INDEX idx_completions_task_id ON public.completions USIN
indexes,completions,idx_completions_type,,,,CREATE INDEX idx_completions_type ON public.completions USING b
rls,completions,Allow authenticated clinic members to delete completions,ENABLED,DELETE,authenticated,
rls,completions,Allow authenticated clinic members to insert completions,ENABLED,INSERT,authenticated,
rls,completions,Allow authenticated clinic members to update completions,ENABLED,UPDATE,authenticated,qual=is_member_of(clinic_id) | with_check=is_member_of(clinic_i
rls,completions,Allow authenticated clinic members to view completions,ENABLED,SELECT,authenticated,
rls,completions,Public read access to completions,ENABLED,SELECT,authenticated,
columns,documents,clinic_id,2,uuid,NO,
columns,documents,created_at,8,timestamp with time zone,NO,now()
columns,documents,doc_type,6,USER-DEFINED,NO,'other'::doc_type
columns,documents,ext,9,text,YES,
columns,documents,history_number_snapshot,18,text,YES,
columns,documents,id,1,uuid,NO,uuid_generate_v4()
columns,documents,in_lab_results,23,boolean,NO,false
columns,documents,in_medical_records,24,boolean,NO,false
columns,documents,in_system_files,25,boolean,NO,false
columns,documents,mascota_id,15,uuid,YES,
columns,documents,mime_type,26,text,YES,
columns,documents,name,21,text,YES,
columns,documents,notes,16,text,YES,
columns,documents,owner_id,4,uuid,YES,
columns,documents,owner_name_snapshot,20,text,YES,
columns,documents,paciente_id,14,uuid,YES,
columns,documents,paciente_name_snapshot,19,text,YES,
columns,documents,path,5,text,NO,
columns,documents,patient_id,3,uuid,YES,
columns,documents,record_id,22,uuid,YES,
columns,documents,size_bytes,10,bigint,YES,
columns,documents,storage_bucket,11,text,YES,
columns,documents,storage_key,12,text,YES,
columns,documents,tags,7,ARRAY,YES,
columns,documents,tipo,13,text,YES,
columns,documents,uploaded_by,17,uuid,YES,
constraints,documents,documents_pkey,PRIMARY KEY,id,,
foreign_keys,documents,documents_clinic_id_fkey,clinic_id,clinics.id,NO ACTION / CASCADE,
foreign_keys,documents,documents_owner_id_fkey,owner_id,owners.id,NO ACTION / SET NULL,
foreign_keys,documents,documents_patient_id_fkey,patient_id,patients.id,NO ACTION / SET NULL,
foreign_keys,documents,documents_record_id_fkey,record_id,medical_records.id,NO ACTION / CASCADE,
foreign_keys,documents,documents_uploaded_by_fkey,clinic_id,clinic_roles.clinic_id,CASCADE / SET NULL,
foreign_keys,documents,documents_uploaded_by_fkey,uploaded_by,clinic_roles.clinic_id,CASCADE / SET NULL,
foreign_keys,documents,documents_uploaded_by_fkey,clinic_id,clinic_roles.user_id,CASCADE / SET NULL,
foreign_keys,documents,documents_uploaded_by_fkey,uploaded_by,clinic_roles.user_id,CASCADE / SET NULL,
indexes,documents,documents_pkey,,,,CREATE UNIQUE INDEX documents_pkey ON public.documents USING bt
indexes,documents,idx_documents_bucket,,,,CREATE INDEX idx_documents_bucket ON public.documents USING btr
indexes,documents,idx_documents_bucket_key,,,,CREATE INDEX idx_documents_bucket_key ON public.documents USING
indexes,documents,idx_documents_clinic_created_at,,,,CREATE INDEX idx_documents_clinic_created_at ON public.document
indexes,documents,idx_documents_created,,,,CREATE INDEX idx_documents_created ON public.documents USING bt
indexes,documents,idx_documents_paciente,,,,CREATE INDEX idx_documents_paciente ON public.documents USING b
indexes,documents,idx_documents_patient,,,,CREATE INDEX idx_documents_patient ON public.documents USING bt
indexes,documents,idx_documents_patient_id,,,,CREATE INDEX idx_documents_patient_id ON public.documents USING
indexes,documents,idx_documents_record,,,,CREATE INDEX idx_documents_record ON public.documents USING btr
indexes,documents,idx_documents_record_id,,,,"CREATE INDEX idx_documents_record_id ON public.documents USING "
rls,documents,Public read access to documents,ENABLED,SELECT,authenticated,
rls,documents,docs_delete,ENABLED,DELETE,authenticated,
rls,documents,docs_insert,ENABLED,INSERT,authenticated,
rls,documents,docs_select,ENABLED,SELECT,authenticated,
rls,documents,docs_update,ENABLED,UPDATE,authenticated,qual=is_member_of(clinic_id) | with_check=is_member_of(clinic_i
triggers,documents,trg_documents_choose_bucket,,,,fn_documents_choose_bucket
columns,medical_records,clinic_id,2,uuid,NO,
columns,medical_records,content_delta,13,text,NO,'[]'::text
columns,medical_records,created_at,9,timestamp with time zone,NO,now()
columns,medical_records,created_by,8,uuid,YES,
columns,medical_records,date,4,date,NO,((now() AT TIME ZONE 'utc'::text))::date
columns,medical_records,department_code,11,text,YES,
columns,medical_records,doctor,7,text,YES,
columns,medical_records,id,1,uuid,NO,uuid_generate_v4()
columns,medical_records,locked,12,boolean,NO,false
columns,medical_records,patient_id,3,text,NO,
columns,medical_records,summary,6,text,YES,
columns,medical_records,title,5,text,YES,
columns,medical_records,updated_at,10,timestamp with time zone,NO,now()
constraints,medical_records,medical_records_pkey,PRIMARY KEY,id,,
foreign_keys,medical_records,fk_medical_records_patient_mrn,patient_id,patients.mrn,NO ACTION / CASCADE,
foreign_keys,medical_records,fk_record_patient_mrn,patient_id,patients.mrn,CASCADE / RESTRICT,
foreign_keys,medical_records,fk_record_patient_mrn,patient_id,patients.clinic_id,CASCADE / RESTRICT,
foreign_keys,medical_records,fk_record_patient_mrn,clinic_id,patients.mrn,CASCADE / RESTRICT,
foreign_keys,medical_records,fk_record_patient_mrn,clinic_id,patients.clinic_id,CASCADE / RESTRICT,
foreign_keys,medical_records,medical_records_clinic_id_fkey,clinic_id,clinics.id,NO ACTION / CASCADE,
foreign_keys,medical_records,medical_records_created_by_fkey,created_by,clinic_roles.user_id,CASCADE / SET NULL,
foreign_keys,medical_records,medical_records_created_by_fkey,clinic_id,clinic_roles.clinic_id,CASCADE / SET NULL,
foreign_keys,medical_records,medical_records_created_by_fkey,clinic_id,clinic_roles.user_id,CASCADE / SET NULL,
foreign_keys,medical_records,medical_records_created_by_fkey,created_by,clinic_roles.clinic_id,CASCADE / SET NULL,
indexes,medical_records,idx_medical_records_created,,,,CREATE INDEX idx_medical_records_created ON public.medical_reco
indexes,medical_records,idx_medical_records_dept,,,,CREATE INDEX idx_medical_records_dept ON public.medical_records
indexes,medical_records,idx_medical_records_patient,,,,CREATE INDEX idx_medical_records_patient ON public.medical_reco
indexes,medical_records,idx_records_clinic_mrn,,,,CREATE INDEX idx_records_clinic_mrn ON public.medical_records U
indexes,medical_records,medical_records_pkey,,,,CREATE UNIQUE INDEX medical_records_pkey ON public.medical_reco
rls,medical_records,Public read access to medical_records,ENABLED,SELECT,authenticated,
rls,medical_records,records_delete,ENABLED,DELETE,authenticated,
rls,medical_records,records_insert,ENABLED,INSERT,authenticated,
rls,medical_records,records_select,ENABLED,SELECT,authenticated,
rls,medical_records,records_update,ENABLED,UPDATE,authenticated,qual=is_member_of(clinic_id) | with_check=is_member_of(clinic_i
rls,medical_records,temp_all_select_medical_records,ENABLED,SELECT,"anon, authenticated",
triggers,medical_records,tr_medical_records_touch,,,,tg_touch_updated_at
triggers,medical_records,trg_records_updated,,,,set_updated_at
columns,notes,clinic_id,2,uuid,NO,
columns,notes,content,7,text,NO,
columns,notes,created_at,12,timestamp with time zone,YES,now()
columns,notes,created_by,11,uuid,YES,
columns,notes,hospitalization_id,4,uuid,YES,
columns,notes,id,1,uuid,NO,uuid_generate_v4()
columns,notes,is_important,8,boolean,YES,false
columns,notes,is_private,9,boolean,YES,false
columns,notes,note_type,6,text,NO,
columns,notes,patient_id,3,uuid,YES,
columns,notes,tags,10,ARRAY,YES,
columns,notes,task_id,5,uuid,YES,
columns,notes,updated_at,13,timestamp with time zone,YES,now()
constraints,notes,notes_pkey,PRIMARY KEY,id,,
foreign_keys,notes,notes_clinic_id_fkey,clinic_id,clinics.id,NO ACTION / CASCADE,
